,AK5,C12orf75,CAMKK1,CD1C,CD38,CHSY1,CLEC10A,CYB561,DDIT4,DHRS13,DTYMK,EPHX2,FKBP4,GHRL,GNG2,GPCPD1,GZMB,ID3,IL13RA1,IL1B,LLGL2,MEGF6,MS4A3,MUM1,NPEPL1,NR1D1,NR1D2,NSUN3,PARP2,PDK1,PER1,PGPEP1,POLH,REM2,SH2D1B,SLPI,STIP1,SYT11,TCN1,TIAM2,ZNF438,target
GSM969046,7.715012668,9.112131389,4.729993339,9.182569939,7.916315712,11.67641806,5.297977427,9.930757325,10.0848546,10.44814548,8.425579388,10.40849118,6.097073945,9.999317445,7.829854433,11.35621969,13.46207038,9.681137689,12.82457115,12.42256833,7.67982499,8.312993124,4.478430927,9.180110564,12.56504832,8.272324117,9.072537587,7.243071814,8.980205265,9.322798901,7.880975791,9.122878889,7.541328223,3.704567355,5.857805355,9.255367339,7.519221357,6.127708262,6.66443641,9.544410861,11.26618657,19:50
GSM969047,8.039855703,9.449327345,4.873107904,9.502927259,8.089751794,11.63843803,5.311770456,9.718350486,10.15253802,10.12624495,8.549924802,10.52555073,5.730250756,10.07205349,7.803304257,11.63395185,13.9369376,9.950632493,12.68406179,12.29413631,7.633000996,8.241379785,5.443899644,9.069914612,12.40440229,8.196925223,9.2312419,7.352252582,9.067477117,9.484893762,7.929800043,8.92033373,7.340645379,4.098626742,6.380518059,9.636718455,7.239513089,6.151159915,6.967796365,9.498266628,11.16173341,22:50
GSM969048,7.991248471,9.096455824,4.640070472,9.257802069,7.955332038,11.51081831,5.368599151,9.879464007,10.03809646,10.23694802,8.513248361,10.67055432,5.869782876,10.09729979,7.787682269,11.26194594,13.29072604,9.825853403,12.55799901,12.25320706,7.745041249,8.453750641,4.259873768,9.188936828,12.5969271,8.562892145,9.165440116,7.333961822,9.14850105,9.381581322,8.139867638,9.118108594,7.571756841,4.066431824,5.322046983,9.178398413,7.334410069,6.129390774,6.765737727,9.502405321,11.22121909,1:50
GSM969049,8.352283522,9.022278686,4.316057688,9.505774373,8.173275759,11.82992466,5.429225812,9.791794341,9.913561467,9.854119169,8.243391534,10.53812551,5.381195655,10.25150705,7.633224887,11.76130376,13.5080827,10.01421596,12.92153091,12.55039129,7.524086453,8.635973598,4.489612822,8.917777979,12.26855579,9.035180707,9.463658554,7.290220145,8.941327166,9.675907869,7.928469254,8.861522006,7.804790015,3.472632822,5.982862518,9.047431588,6.984329333,6.34408041,6.705888833,9.518647159,10.93089035,4:50
GSM969050,8.631872695,9.469511999,4.644753511,9.607162669,7.577237977,11.47801765,5.637549988,9.755839771,11.29529039,10.00784066,9.109437214,10.84008371,5.373393225,10.27967842,7.757260412,12.00865922,13.40060299,10.03719362,12.40112287,11.94415488,7.895615984,8.630038197,5.502493794,9.213293161,12.23729617,8.181655043,9.218612817,7.94312734,9.158419106,9.900736021,8.092186437,9.06028409,7.389543837,3.898070424,6.377724071,9.702749174,6.880789885,6.28904037,7.446774982,9.09596784,10.59806955,7:50
GSM969051,7.699051919,9.127699031,4.912419695,8.913262033,8.083047031,11.52089466,5.036048857,9.431409509,10.604553,10.0779586,8.20090129,10.14338673,5.202667401,10.5742501,7.937557216,11.62805351,13.42119992,9.737579383,13.32616027,12.32843295,7.477330212,8.249449342,4.696719473,8.843617751,12.72732633,8.084821083,9.34089313,7.374644003,9.04598717,9.437595396,8.204651801,8.789586885,7.353581381,3.659923488,5.600942315,9.565298618,6.872144331,6.075750925,6.978857418,9.597161475,11.06617324,10:50
GSM969052,7.529789796,8.951315221,5.488097846,8.850543049,8.15163106,11.6703436,5.240422371,9.428817112,10.9687703,10.20325901,8.40115088,9.943499658,5.471963074,10.53319683,7.937772859,11.33714578,13.66735152,9.566870175,13.35370958,12.75787095,7.817999336,8.327237971,4.091304059,9.212063401,12.91734924,8.01464505,8.514127723,7.276145373,9.423321962,9.308385162,8.669092578,9.395166506,7.650305318,3.769158251,6.314451934,9.508137002,6.977698994,6.273079164,6.944349907,9.720023451,11.30687113,13:50
GSM969053,7.515050426,9.305317895,4.823331936,8.9656512,8.063904072,11.60507748,5.242002702,9.394684373,10.25345616,10.2450488,8.555181108,10.08970918,5.897679442,10.22621406,8.445923293,11.4846514,13.66735152,9.677847537,12.64849436,12.49574519,7.769325923,7.792551048,3.664111262,8.995605934,12.72445292,7.521422041,8.900372281,7.521222245,9.675907869,9.326097741,7.722044094,8.770577462,7.174254496,3.74813319,5.751103943,10.0172387,6.923362514,5.738091305,7.110486746,9.361742915,11.07735576,16:50
GSM969054,7.619189263,9.079214532,4.347383404,9.25185668,7.718970444,11.71297737,5.384852445,9.431409509,10.2882622,10.25052941,8.700797934,10.04053556,5.719931232,10.08080116,7.962202559,11.91813026,13.21659002,9.804437502,12.77769009,12.58344729,7.552475769,8.210495054,4.609617012,9.216700406,12.55039129,7.790807712,8.81398635,7.501638724,9.483596303,9.496185766,7.436979624,8.955387691,7.405594012,4.354465586,6.025797702,10.1199447,6.821462938,5.98836745,7.126792881,9.348514856,11.23828001,19:50
GSM969055,8.389871763,9.23562586,4.737199184,8.866494167,8.873744423,12.06142357,5.321509568,9.795462222,10.74211863,9.6874555,8.65965802,9.435007865,5.805053852,9.965949455,7.962202559,12.60053131,13.68994277,10.00874007,13.07852289,12.61496426,7.520776124,8.207180282,6.556793203,8.920802257,12.59511418,8.61273041,8.831507729,7.429071249,9.221115455,9.443040948,8.048706754,9.127699031,7.820438683,3.904496286,7.410019709,8.930116757,7.32886953,6.256369937,9.070630882,9.757566137,11.22533405,14:45
